import time: self [us] | cumulative | imported package
import time:     17446 |    1594478 |           matplotlib.rcsetup
import time:    179616 |     179616 |           matplotlib.ft2font
import time:     29042 |      29042 |           dateutil._version
import time:     12450 |      12450 |             kiwisolver.exceptions
import time:    155372 |     167822 |           kiwisolver._cext
import time:     19278 |      19278 |             numpy.ma.core
import time:     16002 |      16002 |             numpy.ma.extras
import time:     14120 |      49399 |           numpy.ma
import time:     11976 |      11976 |               matplotlib.artist
import time:     33829 |      45805 |             matplotlib.colorizer
import time:      8730 |       8730 |             matplotlib._cm_listed
import time:     28001 |      28001 |             matplotlib._cm_multivar
import time:     11770 |      11770 |             matplotlib._cm_bivar
import time:     16920 |     111223 |           matplotlib.cm
import time:    154349 |    6526510 |         matplotlib
import time:      3494 |       3494 |               _socket
import time:     11563 |      15057 |             socket
import time:     23049 |      23049 |                 _uuid
import time:     19053 |      42101 |               uuid
import time:     16343 |      16343 |               matplotlib._pylab_helpers
import time:     31239 |      89682 |             matplotlib.backend_tools
import time:     13201 |      13201 |                       xml
import time:      8454 |      21654 |                     xml.parsers
import time:     64050 |      64050 |                     pyexpat
import time:     29746 |     115449 |                   xml.parsers.expat
import time:     10496 |     125945 |                 plistlib
import time:     43690 |      43690 |                   matplotlib._mathtext_data
import time:     12763 |      56452 |                 matplotlib._afm
import time:     34800 |     217196 |               matplotlib.font_manager
import time:     16876 |      16876 |                 matplotlib.hatch
import time:     43172 |      43172 |                   matplotlib.markers
import time:     17523 |      60695 |                 matplotlib.lines
import time:     34397 |     111966 |               matplotlib.patches
import time:     23739 |      23739 |                   urllib
import time:     13854 |      13854 |                   ipaddress
import time:     43832 |      81424 |                 urllib.parse
import time:     26362 |      26362 |                 matplotlib._text_helpers
import time:     20965 |      20965 |                 matplotlib.dviread
import time:     32821 |      32821 |                     unicodedata
import time:     92794 |     125614 |                   matplotlib._mathtext
import time:     11096 |     136710 |                 matplotlib.mathtext
import time:    338655 |     338655 |                     _hashlib
import time:     18982 |      18982 |                     _blake2
import time:     40731 |     398367 |                   hashlib
import time:     35145 |     433512 |                 matplotlib.texmanager
import time:     39440 |     738411 |               matplotlib.textpath
import time:     65888 |    1133460 |             matplotlib.text
import time:     18094 |      18094 |             matplotlib._tight_bbox
import time:     48865 |      48865 |               matplotlib.collections
import time:     25213 |      74077 |             matplotlib.widgets
import time:     10315 |      10315 |             matplotlib.backend_managers
import time:     14141 |      14141 |                 matplotlib._layoutgrid
import time:     12895 |      27035 |               matplotlib._constrained_layout
import time:     44057 |      44057 |               matplotlib._tight_layout
import time:     22078 |      93169 |             matplotlib.layout_engine
import time:     17605 |    1451455 |           matplotlib.backend_bases
import time:     20793 |    1472248 |         matplotlib.image
import time:    518525 |     518525 |           matplotlib.style.core
import time:     23570 |     542095 |         matplotlib.style
import time:      6039 |       6039 |           matplotlib._blocking_input
import time:     26182 |      26182 |                 matplotlib.offsetbox
import time:      9415 |       9415 |                   matplotlib.units
import time:     24022 |      33436 |                 matplotlib.axis
import time:      8328 |       8328 |                 matplotlib.gridspec
import time:     24781 |      24781 |                 matplotlib.spines
import time:     27635 |      27635 |                 matplotlib.table
import time:     17268 |     137628 |               matplotlib.axes._base
import time:      3295 |       3295 |                       calendar
import time:     31267 |      31267 |                       six
import time:     52541 |      52541 |                       dateutil._common
import time:        67 |         67 |                         six.moves
import time:      1788 |       1788 |                         dateutil.tz._common
import time:     10508 |      10508 |                         dateutil.tz._factories
import time:        45 |         45 |                           six.moves.winreg
import time:     14339 |      14383 |                         dateutil.tz.win
import time:     25312 |      52057 |                       dateutil.tz.tz
import time:     56579 |     195738 |                     dateutil.parser._parser
import time:     12422 |      12422 |                     dateutil.parser.isoparser
import time:      8043 |     216201 |                   dateutil.parser
import time:     56485 |     272686 |                 matplotlib.category
import time:     29708 |      29708 |                 matplotlib.contour
import time:     83341 |      83341 |                   dateutil.rrule
import time:      8216 |      91556 |                 matplotlib.dates
import time:      2825 |       2825 |                 matplotlib.inset
import time:     18443 |      18443 |                   matplotlib.container
import time:     13166 |      13166 |                   matplotlib.legend_handler
